2026-09-06 21:10:39,170 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(741.1, 1248.7); время_боя=33617 мс; длительность=300 мс; детекций=18
2026-09-06 21:10:41,511 | Сыграна карта: ice-spirit; слот=4; уверенность=0.99; клетка=(столбец=5, строка=19); средняя позиция=(232.8, 858.5); время_боя=34117 мс; длительность=300 мс; детекций=19
2026-09-06 21:10:49,509 | Сыграна карта: the-log; слот=4; уверенность=0.94; клетка=(столбец=4, строка=19); средняя позиция=(186.3, 857.2); время_боя=35686 мс; длительность=300 мс; детекций=19
2026-09-06 21:11:04,903 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=14, строка=14); средняя позиция=(653.3, 652.1); время_боя=39640 мс; длительность=300 мс; детекций=14
2026-09-06 21:11:10,305 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=15); средняя позиция=(793.2, 708.7); время_боя=41024 мс; длительность=300 мс; детекций=19
2026-09-06 21:11:12,728 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(747.6, 1254.1); время_боя=41592 мс; длительность=300 мс; детекций=19
2026-09-06 21:11:18,322 | Сыграна карта: fireball; слот=1; уверенность=0.99; клетка=(столбец=10, строка=10); средняя позиция=(466.3, 472.6); время_боя=42960 мс; длительность=300 мс; детекций=17
2026-09-06 21:11:34,224 | Сыграна карта: ice-spirit; слот=1; уверенность=0.85; клетка=(столбец=16, строка=27); средняя позиция=(747.6, 1254.5); время_боя=45362 мс; длительность=300 мс; детекций=19
2026-09-06 21:11:43,574 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=15); средняя позиция=(746.9, 694.2); время_боя=47247 мс; длительность=300 мс; детекций=19
2026-09-06 21:11:57,572 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=9, строка=21); средняя позиция=(420.6, 973.5); время_боя=51001 мс; длительность=300 мс; детекций=19
2026-09-06 21:12:01,105 | Сыграна карта: skeletons; слот=4; уверенность=0.97; клетка=(столбец=9, строка=19); средняя позиция=(421.5, 895.6); время_боя=51919 мс; длительность=300 мс; детекций=19
2026-09-06 21:12:01,666 | Сыграна карта: skeletons; слот=4; уверенность=0.97; клетка=(столбец=3, строка=15); средняя позиция=(139.5, 709.0); время_боя=52069 мс; длительность=300 мс; детекций=18
2026-09-06 21:12:02,795 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(742.4, 1250.0); время_боя=52352 мс; длительность=300 мс; детекций=16
2026-09-06 21:12:08,842 | Сыграна карта: hog-rider; слот=4; уверенность=0.96; клетка=(столбец=17, строка=15); средняя позиция=(793.2, 708.8); время_боя=53787 мс; длительность=300 мс; детекций=19
2026-09-06 21:12:11,475 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(747.6, 1254.0); время_боя=54404 мс; длительность=300 мс; детекций=8
2026-09-06 21:12:24,901 | Сыграна карта: the-log; слот=1; уверенность=0.97; клетка=(столбец=15, строка=15); средняя позиция=(699.1, 711.3); время_боя=57574 мс; длительность=300 мс; детекций=19
2026-09-06 21:12:34,864 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=16); средняя позиция=(465.5, 731.9); время_боя=59610 мс; длительность=300 мс; детекций=18
2026-09-06 21:12:44,517 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=19); средняя позиция=(466.6, 894.0); время_боя=61562 мс; длительность=300 мс; детекций=19
2026-09-06 21:12:52,541 | Сыграна карта: skeletons; слот=1; уверенность=0.97; клетка=(столбец=10, строка=16); средняя позиция=(466.0, 746.7); время_боя=63363 мс; длительность=300 мс; детекций=19
2026-09-06 21:13:00,873 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=18, строка=16); средняя позиция=(840.3, 746.8); время_боя=65232 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:06,527 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=14); средняя позиция=(793.8, 633.8); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:06,528 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(747.8, 1254.1); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:06,528 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.0, 87.4); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:06,528 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.3, 83.8); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:11,130 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=3, строка=15); средняя позиция=(139.4, 691.7); время_боя=1151 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:11,265 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.0, 87.5); время_боя=1185 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:17,724 | Сыграна карта: musketeer-hero; слот=4; уверенность=0.82; клетка=(столбец=2, строка=22); средняя позиция=(94.6, 1010.0); время_боя=2736 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:23,969 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(816.9, 86.5); время_боя=4188 мс; длительность=300 мс; детекций=7
2026-09-06 21:19:24,109 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(748.1, 1254.6); время_боя=4221 мс; длительность=300 мс; детекций=6
2026-09-06 21:19:27,621 | Сыграна карта: the-log; слот=2; уверенность=0.95; клетка=(столбец=15, строка=15); средняя позиция=(698.9, 711.7); время_боя=5072 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:28,882 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.3, 83.7); время_боя=5389 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:31,615 | Сыграна карта: skeletons; слот=4; уверенность=0.88; клетка=(столбец=5, строка=17); средняя позиция=(226.6, 790.2); время_боя=6039 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:32,628 | Сыграна карта: skeletons; слот=4; уверенность=0.88; клетка=(столбец=4, строка=20); средняя позиция=(186.9, 934.6); время_боя=6273 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:37,211 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(748.1, 1254.6); время_боя=7357 мс; длительность=300 мс; детекций=19
2026-09-06 21:19:38,636 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.3, 83.8); время_боя=7691 мс; длительность=300 мс; детекций=19
2026-09-06 21:22:45,629 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=2, строка=18); средняя позиция=(78.9, 878.4); время_боя=2828 мс; длительность=301 мс; детекций=15
2026-09-06 21:22:53,638 | Сыграна карта: ice-spirit; слот=1; уверенность=0.98; клетка=(столбец=4, строка=18); средняя позиция=(204.8, 882.7); время_боя=4384 мс; длительность=301 мс; детекций=19
2026-09-06 21:23:33,176 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=9, строка=27); средняя позиция=(524.7, 1347.1); время_боя=12232 мс; длительность=301 мс; детекций=19
2026-09-06 21:24:02,680 | Сыграна карта: musketeer-hero; слот=1; уверенность=0.25; клетка=(столбец=10, строка=25); средняя позиция=(585.8, 1242.0); время_боя=18121 мс; длительность=301 мс; детекций=19
